iter	Passed	Remaining
405	6009	4351
406	6024	4337
407	6040	4322
408	6053	4306
409	6065	4290
410	6078	4274
411	6092	4258
412	6105	4242
413	6118	4226
414	6130	4210
415	6143	4194
416	6156	4178
417	6169	4162
418	6183	4146
419	6195	4130
420	6208	4114
421	6221	4098
422	6234	4082
423	6247	4067
424	6260	4050
425	6273	4034
426	6285	4018
427	6300	4003
428	6313	3988
429	6327	3972
430	6340	3957
431	6354	3942
432	6367	3926
433	6379	3910
434	6392	3894
435	6405	3878
436	6417	3862
437	6431	3847
438	6443	3830
439	6455	3814
440	6468	3798
441	6481	3783
442	6495	3768
443	6507	3752
444	6521	3736
445	6534	3721
446	6547	3705
447	6561	3690
448	6574	3675
449	6586	3659
450	6599	3643
451	6611	3627
452	6624	3612
453	6637	3596
454	6650	3581
455	6662	3565
456	6674	3549
457	6688	3534
458	6702	3519
459	6718	3505
460	6733	3490
461	6746	3475
462	6760	3460
463	6772	3444
464	6787	3430
465	6801	3415
466	6819	3402
467	6834	3387
468	6847	3372
469	6861	3357
470	6874	3342
471	6886	3326
472	6899	3310
473	6911	3295
474	6924	3280
475	6938	3264
476	6950	3249
477	6963	3233
478	6975	3218
479	6988	3203
480	7002	3188
481	7014	3172
482	7028	3157
483	7041	3142
484	7054	3127
485	7066	3111
486	7078	3096
487	7092	3080
488	7105	3066
489	7119	3051
490	7131	3035
491	7144	3020
492	7156	3004
493	7170	2990
494	7184	2975
495	7197	2960
496	7209	2944
497	7222	2929
498	7236	2914
499	7250	2900
500	7263	2885
501	7277	2870
502	7290	2855
503	7302	2839
504	7318	2826
505	7332	2811
506	7344	2795
507	7357	2780
508	7371	2765
509	7382	2750
510	7396	2735
511	7409	2720
512	7423	2705
513	7436	2691
514	7449	2675
515	7462	2661
516	7477	2646
517	7491	2632
518	7505	2617
519	7519	2603
520	7533	2588
521	7546	2573
522	7559	2558
523	7611	2556
524	7636	2545
525	7650	2530
526	7665	2516
527	7681	2502
528	7694	2487
529	7706	2472
530	7721	2457
531	7736	2443
532	7750	2428
533	7763	2413
534	7776	2398
535	7788	2383
536	7801	2368
537	7815	2353
538	7828	2338
539	7841	2323
540	7853	2308
541	7866	2293
542	7880	2278
543	7893	2263
544	7906	2248
545	7919	2233
546	7931	2218
547	7946	2204
548	7959	2189
549	7973	2174
550	7985	2159
551	7997	2144
552	8010	2129
553	8036	2117
554	8048	2102
555	8061	2087
556	8076	2073
557	8090	2058
558	8103	2043
559	8116	2029
560	8129	2014
561	8141	1999
562	8155	1984
563	8168	1969
564	8181	1954
565	8194	1940
566	8207	1925
567	8220	1910
568	8232	1895
569	8246	1880
570	8260	1866
571	8273	1851
572	8286	1836
573	8299	1821
574	8312	1807
575	8326	1792
576	8341	1778
577	8354	1763
578	8368	1748
579	8381	1734
580	8393	1719
581	8407	1704
582	8420	1689
583	8431	1674
584	8445	1660
585	8459	1645
586	8472	1631
587	8485	1616
588	8497	1601
589	8510	1586
590	8524	1572
591	8537	1557
592	8550	1542
593	8562	1528
594	8575	1513
595	8588	1498
596	8601	1484
597	8616	1469
598	8630	1455
599	8643	1440
600	8657	1426
601	8673	1411
602	8687	1397
603	8701	1383
604	8715	1368
605	8729	1354
606	8743	1339
607	8756	1324
608	8768	1310
609	8782	1295
610	8795	1281
611	8807	1266
612	8821	1251
613	8833	1237
614	8847	1222
615	8860	1208
616	8873	1193
617	8885	1178
618	8897	1164
619	8911	1149
620	8926	1135
621	8940	1121
622	8954	1106
623	8967	1092
624	8981	1077
625	8996	1063
626	9010	1049
627	9024	1034
628	9038	1020
629	9054	1006
630	9070	991
631	9084	977
632	9099	963
633	9114	948
634	9128	934
635	9140	919
636	9154	905
637	9170	891
638	9183	876
639	9198	862
640	9211	847
641	9224	833
642	9236	818
643	9251	804
644	9264	789
645	9277	775
646	9291	761
647	9304	746
648	9315	732
649	9329	717
650	9342	703
651	9356	688
652	9370	674
653	9383	660
654	9396	645
655	9410	631
656	9423	616
657	9440	602
658	9458	588
659	9473	574
660	9487	559
661	9503	545
662	9519	531
663	9532	516
664	9545	502
