iter	MultiClass
325	0.3717258832
326	0.3710264078
327	0.3704561152
328	0.3699173092
329	0.369285444
330	0.3687825981
331	0.3681306029
332	0.3674643912
333	0.3668442022
334	0.3661713443
335	0.3654728143
336	0.3645812988
337	0.3636434806
338	0.3627205339
339	0.3619133716
340	0.3610890556
341	0.3605906936
342	0.3597191557
343	0.3589038278
344	0.358314499
345	0.3578646451
346	0.3572904683
347	0.3564893599
348	0.3554759494
349	0.3549473972
350	0.354539929
351	0.3540220061
352	0.3535158798
353	0.3529870093
354	0.3518602691
355	0.3511640454
356	0.3506847407
357	0.3503555105
358	0.3492914981
359	0.3489082045
360	0.3481577839
361	0.3473441477
362	0.346492822
363	0.3460800696
364	0.3457707873
365	0.3450854645
366	0.3444993506
367	0.3439311245
368	0.3427340355
369	0.341618568
370	0.3410960329
371	0.3404574251
372	0.3394922377
373	0.3389450716
374	0.3383170944
375	0.3376993523
376	0.3370231537
377	0.3359675584
378	0.3355373082
379	0.3349627328
380	0.3343633597
381	0.333801575
382	0.333130385
383	0.3326626125
384	0.3321697123
385	0.3313227278
386	0.330988807
387	0.3303559835
388	0.3296191494
389	0.3292221146
390	0.3281906085
391	0.3272130884
392	0.3266677106
393	0.3259223161
394	0.3254770456
395	0.3251312949
396	0.3246624397
397	0.3242460317
398	0.3235623653
399	0.3230744751
400	0.322440693
401	0.3216646804
402	0.320869038
403	0.3204749955
404	0.3198781729
405	0.3193683994
406	0.318850307
407	0.3182249115
408	0.3175645606
409	0.3170284685
410	0.3166786979
411	0.3163958855
412	0.3158251338
413	0.3154571008
414	0.3149962143
415	0.3144583788
416	0.3137666454
417	0.3133723136
418	0.3127601357
419	0.3122063738
420	0.3114560521
421	0.3109584667
422	0.3106033474
423	0.3103579534
424	0.3098794762
425	0.3093351563
426	0.3088699379
427	0.30829137
428	0.3079993662
429	0.3075911813
430	0.3068615901
431	0.3064138044
432	0.3062423756
433	0.305547355
434	0.3052211544
435	0.3047898003
436	0.3043916178
437	0.3039082313
438	0.3032732399
439	0.3029189749
440	0.3026707674
441	0.3021478091
442	0.3014743474
443	0.3009350246
444	0.3003826289
445	0.3000054369
446	0.2994769674
447	0.2990232604
448	0.2983871298
449	0.2976725146
450	0.2970712072
451	0.2966400274
452	0.2963130499
453	0.2959748029
454	0.2955376563
455	0.2950577835
456	0.2946940219
457	0.2940893773
458	0.2936380256
459	0.2933950693
460	0.2931038834
461	0.2925767892
462	0.2922074546
463	0.2916589422
464	0.291198426
465	0.2908152996
466	0.2904299123
467	0.2901714488
468	0.2899050289
469	0.2892489883
470	0.2886621955
471	0.2882070612
472	0.2877572888
473	0.2875761634
474	0.2871110448
475	0.2864398051
476	0.2858907413
477	0.2856232381
478	0.2851096874
479	0.284773436
480	0.2844389046
481	0.2838786112
482	0.2834490288
483	0.2828706049
484	0.282578286
485	0.2819071216
486	0.2815251206
487	0.2812193264
488	0.2810561743
489	0.2805200652
490	0.2799260073
491	0.2795500861
492	0.2793345795
493	0.2788716228
494	0.2784309707
495	0.2779760739
496	0.2777571851
497	0.2775215656
498	0.2772972429
499	0.2769341492
500	0.2766607801
501	0.2761791259
502	0.2759148282
503	0.2754567703
504	0.2748267184
505	0.2745307188
506	0.2740156087
507	0.2737662793
508	0.2733616797
509	0.2728408894
510	0.2721791861
511	0.2718986994
512	0.2712870389
513	0.2708671113
514	0.2704084099
515	0.2700406626
516	0.2696259757
517	0.2694160034
518	0.2691367762
519	0.268917867
520	0.2686940812
521	0.2680527406
522	0.2673961133
523	0.2669649892
524	0.2666698835
525	0.2662183891
526	0.2656903907
527	0.2652235719
528	0.2648339064
529	0.2644982243
530	0.264082597
531	0.2635823286
532	0.2632581769
533	0.2627762335
534	0.2622752078
535	0.2619288747
536	0.2616393739
537	0.2613437049
538	0.2611692762
539	0.2608808112
540	0.2605353114
541	0.2602995272
542	0.2594591566
543	0.2593064219
544	0.2588107683
545	0.2584678758
546	0.2580019895
547	0.2576456314
548	0.2571127841
549	0.2567218048
550	0.2564929715
551	0.2560359533
552	0.2558267008
553	0.2554471041
554	0.255101475
555	0.2547335142
556	0.2544877545
557	0.2540873932
558	0.2536464857
559	0.2533553012
560	0.2530471197
561	0.2525438252
562	0.252025192
563	0.2516355688
564	0.2512585294
565	0.2509722156
566	0.2505061767
567	0.25011982
568	0.2496460847
569	0.249390065
570	0.2491483556
571	0.2485954055
572	0.2481617161
573	0.2478858952
574	0.2474396904
575	0.2470879707
576	0.2468377473
577	0.2464876048
578	0.2460850685
579	0.245945336
580	0.2455377115
581	0.2451373523
582	0.2447352974
583	0.2445391449
584	0.2442128641
585	0.2436950975
586	0.2434823337
587	0.2429907319
588	0.2427752211
589	0.2424683928
590	0.242130788
591	0.2418424238
592	0.2415267754
593	0.2413240241
594	0.2412297221
595	0.2409514256
596	0.2405023011
597	0.2402240288
598	0.2398338457
599	0.2394734202
600	0.2389513109
601	0.2387218146
602	0.2383715983
603	0.2380407861
604	0.2376292261
605	0.2372386857
606	0.23682842
607	0.2365417595
608	0.2361942402
609	0.2358133226
610	0.2355603045
611	0.2352587448
612	0.2348685238
613	0.2345141227
614	0.2341403202
615	0.2339425831
616	0.2336197681
617	0.2334088823
618	0.2330783749
619	0.2329433453
620	0.2326234415
621	0.2323261516
622	0.2320640377
623	0.2318358192
624	0.2316846114
625	0.2312454427
626	0.2309514178
627	0.2306683254
628	0.2301848549
629	0.2299082339
630	0.2296003949
631	0.2293368898
632	0.229065936
633	0.228620652
634	0.2283786525
635	0.2281833905
636	0.2279944419
637	0.2278620482
638	0.2276331744
639	0.2273310083
640	0.226883364
641	0.2267711699
642	0.2265988543
643	0.2261554809
644	0.2258662305
645	0.2253227096
646	0.2248388184
647	0.2245104197
648	0.2241321079
649	0.2239878506
650	0.223745864
651	0.2235078728
652	0.2232024683
653	0.2228669592
654	0.222601933
655	0.2224883817
656	0.2221682153
657	0.2218978318
658	0.221657483
659	0.221514346
660	0.2212564381
661	0.2209197907
662	0.2206323691
663	0.2201636481
664	0.2198754583
665	0.2195397213
666	0.2193019349
667	0.2191204507
668	0.2189480504
669	0.2185482618
670	0.218333877
671	0.2180203576
672	0.2178930737
673	0.217510065
674	0.2170417869
675	0.2167362607
676	0.216466577
677	0.21625373
678	0.2160151095
679	0.2157156946
680	0.2155744759
681	0.2153180687
682	0.214853052
683	0.2145836635
684	0.2143853715
685	0.2142038976
686	0.2139440547
687	0.2137957773
688	0.2135305577
689	0.2132507362
690	0.2129708825
691	0.2126534224
692	0.2123346249
693	0.2121807674
694	0.2119646168
695	0.2116965619
696	0.2114523233
697	0.2111399279
698	0.2109495423
699	0.2106159973
